"ID","Genotype","APA","APA2","Year","genoAPA","V0","V10","V15","V20","V30","V40","V50","min","max"
"15143C","WT","consistent","consistent","2015","WT_consistent",0.000141208,-0.000289647,-0.001539753,-0.002471361,-0.002960502,-0.004357639,-0.004800732,-0.004800732,0.000141208
"15144C","WT","consistent","consistent","2015","WT_consistent",-5.19e-05,-8.83e-05,-0.000911371,-0.00150319,-0.001860003,-0.002383395,-0.002122899,-0.002383395,-5.19e-05
"15145C","WT","consistent","consistent","2015","WT_consistent",-4.18e-05,-6.18e-05,-0.001593462,-0.00181918,-0.002638209,-0.002767123,-0.002847076,-0.002847076,-4.18e-05
"15146C","WT","consistent","consistent","2015","WT_consistent",0.000207267,-0.000136649,-0.0006205,-0.001717769,-0.002490222,-0.003030815,-0.004028133,-0.004028133,0.000207267
"15147C","WT","consistent","consistent","2015","WT_consistent",-0.000352361,9.79e-05,-0.000736947,-0.001258964,-0.002709067,-0.002479018,-0.003183019,-0.003183019,9.79e-05
"15144A","WT","conflict","conflict","2015","WT_conflict",0.000154642,6.11e-05,-0.001237393,-0.001254082,-0.001399463,-0.001086449,-0.001562542,-0.001562542,0.000154642
"15145A","WT","conflict","conflict","2015","WT_conflict",1.54e-05,-0.000557674,-0.000842674,-0.000879766,-0.001385727,-0.001745415,-0.002368989,-0.002368989,1.54e-05
"15146A","WT","conflict","conflict","2015","WT_conflict",-9.61e-05,0.000107096,-0.001067524,-0.001646795,-0.002574774,-0.002757846,-0.003598131,-0.003598131,0.000107096
"15147A","WT","conflict","conflict","2015","WT_conflict",0.000144135,-0.000165085,-0.000700835,-0.001244411,-0.002740054,-0.003317428,-0.003727043,-0.003727043,0.000144135
"15148A","WT","conflict","conflict","2015","WT_conflict",-0.000282508,-0.000201111,-0.000793562,-0.001673056,-0.00231534,-0.003274746,-0.003925135,-0.003925135,-0.000201111
"15148C","WT","conflict","conflict","2015","WT_conflict",-0.000262387,0.000177106,-0.00043025,-0.001616123,-0.003218472,-0.004440827,-0.005205496,-0.005205496,0.000177106
"15143D","WT","control","control-consistent","2015","WT_control",-1.36e-05,-0.001353679,-0.000974833,-0.002131643,-0.001622808,-0.002591314,-0.00245125,-0.002591314,-1.36e-05
"15145D","WT","control","control-consistent","2015","WT_control",0.000405102,-0.000122068,-0.000742528,-0.001333794,-0.002236565,-0.00233364,-0.00225543,-0.00233364,0.000405102
"15146D","WT","control","control-consistent","2015","WT_control",0.000121471,-0.000161636,-0.000433198,-0.001168674,-0.001623883,-0.002207864,-0.003007066,-0.003007066,0.000121471
"15147D","WT","control","control-consistent","2015","WT_control",-0.000108956,0.000101741,-0.000227813,-0.001664947,-0.003016234,-0.004422056,-0.004582237,-0.004582237,0.000101741
"15143B","WT","control","control-conflict","2015","WT_control",0.000478442,-0.001232245,-0.001625659,-0.003899627,-0.003533061,-0.004234342,-0.006498043,-0.006498043,0.000478442
"15144B","WT","control","control-conflict","2015","WT_control",0.000710501,-0.000182166,-0.001768832,-0.003776931,-0.004344656,-0.004131745,-0.005638693,-0.005638693,0.000710501
"15145B","WT","control","control-conflict","2015","WT_control",0.000301227,-0.001780082,-0.001073193,-0.000164444,-0.00167768,-0.001429169,-0.00175876,-0.001780082,0.000301227
"15146B","WT","control","control-conflict","2015","WT_control",0.000174189,0.000189256,-0.00053373,-0.001257934,-0.001723237,-0.001275221,-0.002205568,-0.002205568,0.000189256
"15147B","WT","control","control-conflict","2015","WT_control",0.000326316,-0.000521494,-0.001079695,-0.002578781,-0.002628149,-0.002754782,-0.004351805,-0.004351805,0.000326316
"15148B","WT","control","control-conflict","2015","WT_control",0.000130405,-2.53e-05,-0.000183931,-0.00072789,-0.001637513,-0.002368631,-0.003178509,-0.003178509,0.000130405
"15148D","WT","control","control-conflict","2015","WT_control",7.88e-05,-0.000126586,-0.000337034,-0.000294841,-0.000769588,-0.001799279,-0.002423445,-0.002423445,7.88e-05
