"rowname","PC1","PC2"
"Naf1",0.861709524698369,-0.697655965779486
"Ptgs2",0.840046336068718,-0.64459218051938
"Rgs2",0.833975370979959,-0.610764530702781
"Hist1h1d",0.815007901143921,-0.544163338326343
"Col10a1",0.812721894255861,-0.579157056562734
"Arc",0.805926984145088,-0.634945939928511
"Hspb3",0.803446968562441,-0.286126290246488
"Npas4",0.802382358989387,-0.64190282149363
"Fzd5",0.798759368049769,-0.670137446090561
"Acan",0.784205534794125,-0.545184460774887
"Areg",0.784205510826605,-0.438200635627995
"Hist1h3i",0.779006216500503,-0.48921601581999
"Armcx5",0.775536488340024,-0.283004118986227
"Atf3",0.774299679458332,-0.680548033900697
"Syt4",0.77426591864414,-0.554464945579755
"Nexn",0.771602821845151,-0.401481505655072
"Hoxc4",0.765294784501068,-0.639085663915372
"Abra",0.76443293381299,-0.63435201983956
"Fosl2",0.762014114515966,-0.6716167232026
"Ubc",0.753431907176377,-0.649336517753577
