"","rowname","PC1","PC2","Camk2a","Gria2","Igf2","Nsf","Pick1","Prkcb","Prkci","Prkcz","Wwc1"
"1","Igf2",0.578766575757652,-0.409366392855205,-0.254510632401337,-0.0563412219180362,NA,0.0957562157209993,-0.308907412952923,0.10552583638124,0.237407857246356,0.211456033981648,0.189859847523868
"2","Prkci",0.192800554016032,-0.520861100523653,0.132510169161425,0.0296292940472715,0.237407857246356,-0.674427181219396,-0.443955905667806,0.0587109061370878,NA,-0.175365906361133,0.690937344308309
"3","Wwc1",0.111490503049223,-0.625605171920291,0.567164726149934,-0.278420025617205,0.189859847523868,-0.855562922339345,-0.33502483051511,-0.241845177492052,0.690937344308309,0.220929016369897,NA
"4","Nsf",-0.0692128210151993,0.467310581252579,-0.636920358827189,0.125229514913262,0.0957562157209993,NA,0.35113913244057,0.159818496890625,-0.674427181219396,-0.105772084235102,-0.855562922339345
"5","Prkcb",-0.0846627265315985,0.201432062536709,-0.0378970838773823,0.65011802981255,0.10552583638124,0.159818496890625,-0.489018497487288,NA,0.0587109061370878,-0.182355598840735,-0.241845177492052
"6","Prkcz",-0.112235060934603,0.109346434948892,0.381180675787497,0.132248200483181,0.211456033981648,-0.105772084235102,0.0710638344236652,-0.182355598840735,-0.175365906361133,NA,0.220929016369897
"7","Pick1",-0.249381557767221,0.390813833056129,-0.0214352933213785,-0.420476427605313,-0.308907412952923,0.35113913244057,NA,-0.489018497487288,-0.443955905667806,0.0710638344236652,-0.33502483051511
"8","Camk2a",-0.335199308302181,0.155009850451702,NA,-0.0751593540505559,-0.254510632401337,-0.636920358827189,-0.0214352933213785,-0.0378970838773823,0.132510169161425,0.381180675787497,0.567164726149934
"9","Gria2",-0.336776454580901,0.250006634287725,-0.0751593540505559,NA,-0.0563412219180362,0.125229514913262,-0.420476427605313,0.65011802981255,0.0296292940472715,0.132248200483181,-0.278420025617205
"10","PC2",-0.508246584598426,NA,0.155009850451702,0.250006634287725,-0.409366392855205,0.467310581252579,0.390813833056129,0.201432062536709,-0.520861100523653,0.109346434948892,-0.625605171920291
"11","PC1",NA,-0.508246584598426,-0.335199308302181,-0.336776454580901,0.578766575757652,-0.0692128210151993,-0.249381557767221,-0.0846627265315985,0.192800554016032,-0.112235060934603,0.111490503049223
