"trials","ANOVA","Predictor","df","F","p","sig"
"Pre-training (Pre)","NumEntrances ~ treatment","treatment","3, 30",0.09,0.967," "
"Pre-training (Pre)","pTimeShockZone ~ treatment","treatment","3, 30",0.78,0.512," "
"Pre-training (Pre)","Time1stEntr ~ treatment","treatment","3, 30",0.8,0.506," "
"Initial training (T1 - T3)","NumEntrances ~ treatment * trial","treatment","3, 90",26.42,0,"***"
"Initial training (T1 - T3)","NumEntrances ~ treatment * trial","trial","2, 90",5.88,0.004,"**"
"Initial training (T1 - T3)","NumEntrances ~ treatment * trial","treatment x trial","6, 90",0.72,0.631," "
"Initial training (T1 - T3)","pTimeShockZone ~ treatment * trial","treatment","3, 90",48.26,0,"***"
"Initial training (T1 - T3)","pTimeShockZone ~ treatment * trial","trial","2, 90",0.88,0.419," "
"Initial training (T1 - T3)","pTimeShockZone ~ treatment * trial","treatment x trial","6, 90",0.59,0.736," "
"Initial training (T1 - T3)","Time1stEntr ~ treatment * trial","treatment","3, 90",0.02,0.997," "
"Initial training (T1 - T3)","Time1stEntr ~ treatment * trial","trial","2, 90",0.11,0.895," "
"Initial training (T1 - T3)","Time1stEntr ~ treatment * trial","treatment x trial","6, 90",3.24,0.006,"**"
"Initial recall (Rt)","NumEntrances ~ treatment","treatment","3, 30",45.44,0,"***"
"Initial recall (Rt)","pTimeShockZone ~ treatment","treatment","3, 30",129.49,0,"***"
"Initial recall (Rt)","Time1stEntr ~ treatment","treatment","3, 30",7.96,0,"***"
"Conflict training  (T4 - T6)","NumEntrances ~ treatment * trial","treatment","3, 90",9.37,0,"***"
"Conflict training  (T4 - T6)","NumEntrances ~ treatment * trial","trial","2, 90",0.09,0.913," "
"Conflict training  (T4 - T6)","NumEntrances ~ treatment * trial","treatment x trial","6, 90",3.43,0.004,"**"
"Conflict training  (T4 - T6)","pTimeShockZone ~ treatment * trial","treatment","3, 90",25.26,0,"***"
"Conflict training  (T4 - T6)","pTimeShockZone ~ treatment * trial","trial","2, 90",0.03,0.972," "
"Conflict training  (T4 - T6)","pTimeShockZone ~ treatment * trial","treatment x trial","6, 90",1.54,0.174," "
"Conflict training  (T4 - T6)","Time1stEntr ~ treatment * trial","treatment","3, 90",6.03,0.001,"**"
"Conflict training  (T4 - T6)","Time1stEntr ~ treatment * trial","trial","2, 90",0.05,0.954," "
"Conflict training  (T4 - T6)","Time1stEntr ~ treatment * trial","treatment x trial","6, 90",1.74,0.12," "
"Conflict recall (Rn)","NumEntrances ~ treatment","treatment","3, 30",18.01,0,"***"
"Conflict recall (Rn)","pTimeShockZone ~ treatment","treatment","3, 30",26.9,0,"***"
"Conflict recall (Rn)","Time1stEntr ~ treatment","treatment","3, 30",5.97,0.003,"**"
"All trials","PC1 ~ treatment","treatment","3, 302",91.83,0,"***"
"All trails","PC2 ~ treatment","treatment","3, 302",10.76,0,"***"
"Retention (Rn)","PC1 ~ treatment","treatment","3, 30",15.18,0,"***"
"Retention","PC2 ~ treatment","treatment","3, 30",3.25,0.035,"*"
